iter	Passed	Remaining
0	13	2573
1	26	2442
2	39	2382
3	51	2349
4	64	2336
5	77	2323
6	90	2309
7	103	2311
8	115	2279
9	128	2263
10	141	2256
11	153	2225
12	164	2190
13	175	2150
14	185	2113
15	195	2073
16	205	2040
17	216	2017
18	227	1996
19	238	1975
20	248	1951
21	259	1931
22	269	1911
23	279	1887
24	290	1868
25	300	1850
26	310	1830
27	321	1815
28	332	1797
29	342	1781
30	352	1763
31	363	1748
32	373	1731
33	383	1713
34	393	1698
35	403	1683
36	413	1667
37	423	1649
38	433	1634
39	443	1618
40	454	1605
41	463	1590
42	474	1577
43	484	1564
44	495	1552
45	505	1538
46	515	1523
47	525	1509
48	535	1496
49	545	1484
50	555	1471
51	566	1458
52	575	1445
53	585	1432
54	596	1420
55	606	1407
56	617	1397
57	628	1386
58	639	1375
59	649	1364
60	659	1351
61	669	1339
62	680	1327
63	691	1318
64	701	1306
65	711	1294
66	722	1282
67	731	1270
68	742	1258
69	752	1247
70	762	1235
71	772	1223
72	782	1211
73	792	1199
74	802	1187
75	812	1175
76	822	1164
77	832	1152
78	842	1141
79	852	1129
80	862	1118
81	872	1107
82	883	1095
83	892	1084
84	903	1073
85	912	1061
86	923	1050
87	933	1039
88	943	1028
89	954	1018
90	964	1007
91	974	995
92	984	984
93	995	974
94	1005	963
95	1016	952
96	1026	941
97	1036	931
98	1047	920
99	1058	910
100	1068	899
101	1079	888
102	1089	878
103	1100	867
104	1110	856
105	1120	845
106	1130	834
107	1141	824
108	1151	813
109	1162	803
110	1172	792
111	1182	781
112	1193	771
113	1204	760
114	1215	750
115	1225	739
116	1235	728
117	1245	717
118	1256	707
119	1266	696
120	1276	685
121	1286	675
122	1297	664
123	1306	653
124	1317	642
125	1327	631
126	1337	621
127	1348	611
128	1358	600
129	1368	589
130	1379	578
131	1389	568
132	1399	557
133	1409	546
134	1419	536
135	1429	525
136	1439	514
137	1449	504
138	1459	493
139	1469	482
140	1479	472
141	1489	461
142	1500	451
143	1510	440
144	1520	430
145	1531	419
146	1541	408
147	1551	398
148	1563	388
149	1573	377
150	1584	367
151	1594	356
152	1605	346
153	1615	335
154	1625	325
155	1635	314
156	1646	304
157	1656	293
158	1666	282
159	1676	272
160	1686	261
161	1696	251
162	1706	240
163	1716	230
164	1726	219
165	1737	209
166	1747	198
167	1758	188
168	1769	177
169	1779	167
170	1790	157
171	1801	146
172	1812	136
173	1822	125
174	1832	115
175	1843	104
176	1853	94
177	1863	83
178	1873	73
179	1882	62
180	1892	52
181	1902	41
182	1912	31
183	1922	20
184	1932	10
185	1944	0
