person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21.0,0,3,12282.0,0,2,1000.0,1,11.14,0.08,2.0,504,1,0
24.0,0,1,13866.0,0,2,1500.0,4,7.29,0.11,3.0,600,1,0
23.0,1,3,14293.0,0,2,1400.0,4,9.32,0.1,3.0,607,0,0
24.0,1,0,15229.0,1,2,1750.0,5,11.01,0.11,3.0,631,1,0
22.0,1,0,15013.0,0,0,1500.0,1,14.84,0.1,3.0,688,0,0
24.0,0,1,15928.0,1,2,1600.0,3,13.57,0.1,3.0,689,1,0
25.0,0,1,16211.0,2,2,1750.0,4,13.61,0.11,3.0,597,1,0
23.0,0,3,16916.0,2,0,1400.0,1,9.25,0.08,4.0,615,0,0
21.0,0,3,18421.0,1,0,1500.0,3,11.01,0.08,4.0,623,0,0
22.0,1,4,18367.0,0,2,2100.0,4,11.14,0.11,4.0,583,0,0
23.0,0,1,19175.0,1,0,1750.0,3,12.68,0.09,3.0,587,1,0
25.0,1,3,19158.0,4,2,1750.0,2,15.31,0.09,4.0,625,1,0
21.0,0,0,19169.0,2,0,1500.0,1,10.59,0.08,2.0,537,1,0
21.0,0,3,19414.0,2,2,1000.0,5,7.29,0.05,4.0,681,1,0
23.0,0,1,20401.0,4,0,2275.0,0,13.06,0.11,4.0,573,1,0
22.0,0,3,20405.0,0,2,2000.0,4,12.42,0.1,3.0,590,1,0
22.0,1,3,20896.0,0,0,2000.0,1,10.65,0.1,2.0,596,0,0
22.0,0,0,22107.0,4,0,2250.0,1,15.27,0.1,3.0,636,1,0
22.0,0,1,21790.0,0,0,1000.0,5,11.36,0.05,2.0,686,1,0
22.0,0,3,22616.0,0,2,2000.0,5,11.49,0.09,3.0,567,0,0
21.0,1,1,22673.0,0,2,2500.0,4,11.36,0.11,3.0,670,1,0
24.0,0,1,22608.0,2,0,1200.0,5,11.34,0.05,4.0,615,1,0
23.0,0,1,90025.0,0,3,22000.0,0,10.59,0.24,3.0,640,1,0
24.0,0,4,93232.0,2,3,22000.0,1,9.25,0.24,2.0,625,0,0
26.0,1,0,93314.0,8,3,22000.0,5,6.54,0.24,3.0,643,0,0
24.0,1,1,97038.0,0,3,22000.0,3,11.01,0.23,4.0,653,1,0
26.0,0,0,100246.0,1,3,22000.0,5,12.69,0.22,2.0,623,1,0
23.0,1,3,101575.0,1,3,22000.0,0,11.71,0.22,4.0,586,0,0
23.0,1,1,120500.0,3,3,22000.0,0,7.88,0.18,4.0,646,0,0
23.0,0,1,133195.0,1,3,22000.0,4,11.01,0.17,3.0,643,1,0
22.0,0,1,99087.0,0,3,21600.0,4,13.61,0.22,3.0,597,0,0
22.0,0,3,24092.0,0,2,2400.0,5,10.59,0.1,3.0,654,0,0
24.0,0,1,135365.0,1,3,21600.0,3,7.9,0.16,2.0,556,0,0
24.0,0,3,140396.0,4,3,21500.0,1,15.33,0.15,3.0,572,1,0
25.0,0,0,24121.0,1,2,1000.0,5,11.01,0.04,3.0,612,1,0
22.0,1,0,85496.0,1,3,21000.0,4,13.98,0.25,4.0,614,1,0
22.0,1,4,90944.0,0,3,21000.0,1,10.0,0.23,3.0,523,1,0
24.0,0,0,95767.0,2,3,21000.0,2,7.9,0.22,2.0,640,0,0
23.0,0,4,96788.0,1,3,21000.0,3,11.99,0.22,3.0,648,1,0
24.0,1,3,101708.0,2,3,21000.0,3,10.75,0.21,4.0,593,0,0
26.0,1,0,103023.0,4,3,21000.0,2,13.92,0.2,3.0,658,1,0
22.0,1,1,113027.0,2,3,21000.0,1,9.91,0.19,3.0,701,0,0
26.0,1,0,117668.0,0,3,21000.0,1,7.9,0.18,3.0,711,1,0
26.0,1,1,117297.0,4,3,21000.0,1,11.01,0.18,3.0,570,1,0
26.0,1,0,150692.0,7,3,21000.0,2,8.9,0.14,2.0,534,0,0
25.0,0,3,151100.0,2,3,21000.0,1,12.99,0.14,3.0,577,1,0
23.0,1,1,99197.0,1,3,20900.0,4,12.69,0.21,2.0,638,0,0
23.0,1,0,84845.0,0,3,20500.0,1,13.16,0.24,3.0,641,0,0
22.0,0,0,24872.0,0,2,2100.0,1,8.38,0.08,4.0,630,1,0
23.0,1,0,24766.0,0,2,5000.0,4,11.71,0.2,4.0,649,0,0
23.0,1,0,25168.0,0,0,6400.0,3,10.65,0.25,4.0,638,0,0
26.0,1,1,25012.0,3,0,4800.0,3,5.99,0.19,3.0,682,1,0
25.0,1,1,25295.0,3,2,5650.0,4,15.99,0.22,2.0,637,1,0
23.0,0,0,24930.0,0,0,3625.0,1,11.01,0.15,3.0,662,1,0
23.0,0,1,25141.0,0,2,1200.0,3,7.49,0.05,3.0,700,0,0
22.0,0,0,24521.0,0,2,7500.0,1,5.79,0.31,4.0,612,1,0
25.0,0,4,25654.0,6,0,4000.0,5,5.79,0.16,2.0,725,0,0
22.0,1,0,25229.0,1,2,5000.0,5,14.72,0.2,3.0,604,1,0
26.0,1,1,24569.0,4,0,1500.0,4,7.74,0.06,3.0,570,1,0
23.0,1,3,24853.0,0,0,7125.0,4,6.99,0.29,2.0,631,1,0
23.0,1,1,24853.0,0,0,2500.0,1,16.82,0.1,2.0,524,1,0
26.0,1,0,24751.0,2,0,3600.0,2,11.01,0.15,2.0,669,1,0
21.0,1,1,25666.0,0,2,3550.0,5,11.01,0.14,4.0,693,1,0
26.0,1,0,25229.0,3,0,7000.0,2,8.0,0.28,2.0,626,1,0
24.0,1,4,25451.0,3,2,7750.0,5,6.91,0.3,3.0,594,0,0
22.0,1,0,25537.0,0,0,6000.0,1,15.99,0.23,4.0,623,0,0
24.0,1,0,25526.0,1,0,5500.0,0,10.99,0.22,4.0,661,1,0
21.0,1,0,25416.0,1,2,1275.0,1,15.23,0.05,3.0,626,1,0
21.0,1,0,25710.0,0,2,2400.0,3,11.49,0.09,4.0,623,0,0
22.0,1,3,25644.0,2,2,3800.0,0,11.01,0.15,3.0,645,0,0
24.0,0,0,25992.0,3,2,5000.0,4,16.29,0.19,3.0,612,0,0
25.0,1,4,26133.0,4,2,5375.0,5,13.49,0.21,2.0,650,1,0
22.0,0,3,81282.0,1,3,20000.0,1,12.18,0.25,2.0,639,0,0
23.0,1,1,81580.0,1,3,20000.0,3,11.11,0.25,2.0,607,1,0
24.0,0,4,81639.0,4,3,20000.0,2,13.48,0.24,2.0,681,0,0
26.0,1,3,82432.0,6,3,20000.0,1,10.75,0.24,4.0,710,0,0
25.0,1,3,82737.0,4,3,20000.0,4,12.53,0.24,4.0,634,1,0
23.0,1,1,84428.0,1,3,20000.0,5,17.74,0.24,2.0,707,1,0
25.0,1,1,85061.0,1,3,20000.0,2,9.99,0.24,2.0,627,1,0
22.0,1,1,84791.0,0,3,20000.0,4,6.91,0.24,4.0,592,1,0
25.0,1,3,86325.0,2,3,20000.0,4,14.09,0.23,2.0,566,1,0
22.0,1,3,26244.0,0,0,3000.0,0,11.49,0.11,3.0,667,1,0
