person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21.0,0,0,83732.0,0,3,15000.0,3,8.49,0.18,2.0,676,0,0
36.0,0,0,141689.0,16,0,15284.0,4,9.95,0.11,11.0,649,0,0
30.0,1,1,78995.0,10,3,20000.0,2,11.99,0.25,8.0,675,0,1
25.0,0,1,35824.0,4,3,4031.0,2,16.19,0.11,4.0,653,0,1
21.0,1,1,67645.0,1,3,5000.0,5,5.42,0.07,3.0,632,0,0
23.0,0,0,32181.0,3,3,4000.0,4,12.87,0.12,3.0,651,0,1
22.0,1,0,29427.0,0,3,6000.0,3,11.27,0.2,3.0,665,1,0
21.0,0,4,42295.0,0,3,10500.0,1,8.49,0.25,3.0,649,0,1
30.0,1,4,13829.0,4,3,2435.0,1,9.99,0.18,7.0,622,0,1
24.0,0,4,127664.0,1,0,3500.0,3,7.66,0.03,4.0,608,0,0
26.0,0,0,57763.0,2,0,6000.0,5,12.69,0.1,4.0,648,0,0
22.0,1,1,37114.0,0,3,11100.0,4,6.62,0.3,4.0,689,0,1
26.0,0,3,71519.0,3,0,9800.0,1,11.49,0.14,4.0,583,0,1
29.0,0,3,109085.0,6,3,12000.0,5,10.74,0.11,10.0,578,1,0
30.0,0,1,68684.0,8,3,7000.0,0,11.49,0.1,9.0,680,0,1
34.0,1,0,76635.0,10,0,18000.0,3,8.94,0.23,5.0,593,0,1
31.0,0,1,15283.0,6,3,2400.0,1,11.71,0.16,10.0,653,0,1
22.0,1,3,44044.0,0,3,5000.0,3,12.68,0.11,4.0,593,0,1
23.0,1,0,29703.0,0,2,1500.0,1,12.21,0.05,2.0,614,1,0
23.0,1,0,36911.0,2,3,7200.0,3,8.91,0.2,3.0,680,0,1
35.0,0,3,53638.0,11,0,15000.0,3,7.51,0.28,6.0,642,0,1
21.0,0,3,29451.0,0,3,1000.0,3,10.99,0.03,2.0,546,0,1
24.0,1,4,127418.0,1,0,3709.0,2,9.19,0.03,4.0,700,0,0
21.0,1,4,34136.0,0,2,1000.0,1,15.27,0.03,3.0,656,1,0
30.0,1,4,27054.0,6,3,1500.0,0,11.71,0.06,8.0,627,0,1
27.0,0,4,60208.0,5,0,5000.0,2,11.83,0.08,10.0,666,0,0
25.0,1,0,52990.0,4,0,9000.0,2,9.63,0.17,4.0,662,1,0
26.0,1,3,80447.0,0,3,9895.0,0,15.52,0.12,4.0,540,0,1
26.0,1,4,109029.0,2,0,3200.0,4,13.22,0.03,4.0,630,1,0
24.0,1,3,20315.0,2,3,3250.0,5,12.42,0.16,4.0,698,0,1
23.0,0,1,59619.0,4,0,4000.0,1,13.99,0.07,3.0,679,0,0
23.0,1,1,18473.0,0,2,3000.0,0,14.72,0.16,2.0,629,0,1
33.0,0,3,64512.0,10,3,6700.0,2,13.49,0.1,6.0,600,1,0
24.0,1,3,135106.0,3,3,5400.0,0,15.27,0.04,4.0,634,0,0
25.0,1,3,74458.0,0,0,5650.0,4,7.66,0.08,4.0,573,1,0
29.0,0,4,11409.0,3,3,3000.0,4,7.49,0.26,7.0,651,0,1
24.0,0,0,91136.0,1,2,6675.0,4,6.54,0.07,3.0,667,0,0
30.0,1,1,48667.0,7,3,14000.0,3,12.73,0.29,8.0,621,0,1
31.0,1,0,87197.0,7,3,7000.0,4,5.93,0.08,8.0,621,1,0
24.0,0,0,38519.0,2,3,1358.0,1,15.7,0.04,3.0,677,0,1
22.0,0,4,59950.0,3,0,2400.0,1,5.79,0.04,4.0,663,1,0
27.0,0,0,37012.0,7,3,4000.0,1,12.69,0.11,7.0,664,0,1
22.0,0,4,54949.0,0,3,16750.0,0,10.75,0.3,4.0,676,0,1
29.0,0,0,71692.0,6,3,15000.0,0,10.94,0.21,8.0,686,0,1
23.0,1,3,56174.0,0,3,6800.0,5,15.65,0.12,4.0,666,0,1
24.0,1,1,81570.0,3,0,1000.0,3,9.32,0.01,4.0,623,0,0
28.0,1,2,37116.0,8,3,8400.0,1,12.06,0.23,10.0,654,0,0
24.0,1,1,44046.0,2,3,5000.0,0,14.59,0.11,2.0,661,0,1
24.0,0,3,52913.0,6,0,6350.0,5,7.49,0.12,4.0,616,1,0
23.0,0,0,79539.0,5,3,20000.0,0,13.22,0.25,2.0,584,0,1
36.0,1,4,62078.0,15,0,1000.0,5,11.83,0.02,12.0,720,1,0
34.0,1,3,48936.0,13,3,15000.0,3,10.83,0.31,6.0,712,0,1
35.0,0,0,78614.0,13,0,4500.0,3,12.53,0.06,9.0,649,0,0
